team,season,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,win,made_playoffs
ATL,1997,94.80487805,34.29268293,76.91463415,44.63536585,8.036585366,22.35365854,35.6902439,18.18292683,23.84146341,76.36829268,12.45121951,28.65853659,41.1097561,18.98780488,14.97560976,8.548780488,5.207317073,19.40243902,5.43902439,0.682926829,1
ATL,1998,95.85365854,35.20731707,77.46341463,45.54146341,4.109756098,12.3902439,31.4902439,21.32926829,28.2195122,75.65121951,13.48780488,29.46341463,42.95121951,19.13414634,14.80487805,7.902439024,5.987804878,20.37804878,3.512195122,0.609756098,1
ATL,1999,86.3,30.78,75.18,40.854,3.94,12.88,29.522,20.8,28.44,73.402,13.5,29.98,43.48,15.62,14.88,6.92,5.2,19.72,2.9,0.62,1
ATL,2000,94.32926829,36.58536585,83.01219512,44.24390244,3.146341463,9.926829268,32.50853659,18.01219512,24.23170732,74.52682927,13.97560976,31.34146341,45.31707317,18.87804878,15.43902439,6.097560976,5.62195122,20.95121951,-5.37804878,0.341463415,0
ATL,2001,90.96341463,35.07317073,81.31707317,43.1304878,4.06097561,11.37804878,35.93170732,16.75609756,22.08536585,76.56707317,12.53658537,30.36585366,42.90243902,19.01219512,16.68292683,7.731707317,4.719512195,22.7195122,-5.207317073,0.304878049,0
ATL,2002,94.03658537,35.37804878,80.6097561,43.97317073,5.158536585,14.56097561,35.23902439,18.12195122,23.68292683,76.24268293,11.64634146,29.81707317,41.46341463,20.18292683,15.53658537,8.12195122,4.256097561,20.75609756,-4.231707317,0.402439024,0
ATL,2004,92.81707317,34.5,79.62195122,43.37560976,5.109756098,15.23170732,32.00121951,18.70731707,24.09756098,77.19756098,12.14634146,30.57317073,42.7195122,20.09756098,16.46341463,7.646341463,4.975609756,22.26829268,-4.646341463,0.341463415,0
ATL,2005,92.74390244,35.87804878,81.36585366,44.12073171,3.707317073,11.86585366,30.80853659,17.2804878,24.31707317,70.65609756,13.41463415,28.47560976,41.8902439,19.68292683,16.08536585,7.670731707,4.195121951,24.5,-9.707317073,0.158536585,0
ATL,2006,97.2195122,35.92682927,79.2195122,45.49634146,5.170731707,14.07317073,35.49878049,20.19512195,26.91463415,74.66463415,13.03658537,27.2195122,40.25609756,19.81707317,15.65853659,7.158536585,4.804878049,25.04878049,-4.756097561,0.317073171,0
ATL,2007,93.65853659,34.52439024,77.70731707,44.47804878,4.158536585,12.65853659,32.33536585,20.45121951,26.86585366,76.48536585,11.90243902,28.19512195,40.09756098,19.18292683,15.92682927,7.426829268,5.43902439,24.02439024,-4.756097561,0.365853659,0
ATL,2008,98.2195122,36.2804878,79.90243902,45.46341463,4.682926829,13.14634146,34.34512195,20.97560976,27.15853659,77.09512195,12.29268293,29.92682927,42.2195122,22,14.91463415,7.317073171,5.463414634,20.40243902,-1.817073171,0.451219512,1
ATL,2009,98.12195122,36.04878049,78.67073171,45.89390244,7.280487805,19.91463415,36.58170732,18.74390244,25.42682927,73.83902439,10.6097561,29.41463415,40.02439024,20.20731707,12.7804878,7.353658537,4.585365854,19.63414634,1.573170732,0.573170732,1
ATL,2010,101.6829268,38.79268293,82.93902439,46.87926829,6.390243902,17.74390244,35.92317073,17.70731707,23.34146341,75.27804878,11.81707317,29.8902439,41.70731707,21.81707317,11.95121951,7.219512195,5.036585366,19.90243902,4.658536585,0.646341463,1
ATL,2011,95,36.23170732,78.40243902,46.33780488,6.12195122,17.40243902,35.94878049,16.41463415,21.07317073,77.32682927,9.292682927,30,39.29268293,21.97560976,13.63414634,6.06097561,4.158536585,18.95121951,-0.817073171,0.536585366,1
ATL,2012,96.59090909,36.8030303,81.03030303,45.46060606,7.454545455,20.15151515,37.17272727,15.53030303,20.98484848,74.86363636,9.878787879,31.3030303,41.18181818,22.43939394,13.95454545,8.121212121,4.590909091,17.84848485,3.439393939,0.606060606,1
ATL,2013,97.95121951,37.6097561,81.02439024,46.56463415,8.609756098,23.18292683,37.33170732,14.12195122,19.74390244,70.85121951,9.243902439,31.62195122,40.86585366,24.47560976,14.86585366,8.097560976,4.5,17.96341463,0.402439024,0.536585366,1
ATL,2014,101,37.32926829,81.56097561,45.85243902,9.365853659,25.80487805,35.97926829,16.97560976,21.73170732,78.29634146,8.695121951,31.2804878,39.97560976,24.8902439,15.25609756,8.292682927,3.975609756,19.23170732,-0.475609756,0.463414634,1
ATL,2015,102.5487805,38.06097561,81.69512195,46.71829268,9.975609756,26.24390244,38.01463415,16.45121951,21.15853659,77.65121951,8.719512195,31.84146341,40.56097561,25.74390244,14.23170732,9.073170732,4.634146341,17.76829268,5.426829268,0.731707317,1
ATL,2016,102.8414634,38.63414634,84.42682927,45.86219512,9.93902439,28.36585366,35.16463415,15.63414634,19.97560976,77.80121951,8.280487805,33.80487805,42.08536585,25.6097561,14.95121951,9.109756098,5.926829268,19.14634146,3.609756098,0.585365854,1
ATL,2017,103.1585366,38.08536585,84.36585366,45.2097561,8.890243902,26.06097561,34.13414634,18.09756098,24.86585366,72.60609756,10.26829268,34.06097561,44.32926829,23.63414634,15.7804878,8.195121951,4.841463415,18.18292683,-0.853658537,0.524390244,1
